id,full_name,gender,specialty,category,work_address,latitude,longitude,schedule_json,loyalty_score,avg_sales_brick,phone,email
d3ed8691-cc0b-4504-a49f-1e7b4d004716,Козлов Даниил Николаевич,M,Endocrinologist,B,"Медицинский центр «Здоровье», Каширское ш., д. 109",55.622948,37.613071,"{""monday"": {""start"": ""08:00"", ""end"": ""17:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""17:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""17:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""16:00""}, ""saturday"": {""start"": ""08:00"", ""end"": ""18:00""}}",1.6,43.3,+7(961)671-60-59,kozlov.dd3ed@gmail.com
bded4c37-1844-4347-9d5b-a280d44ec337,Бела Елена Александровна,F,Neurologist,B,"ГКБ №19, ул. Мясницкая, д. 65",55.61693,37.683505,"{""monday"": {""start"": ""12:00"", ""end"": ""19:00""}, ""tuesday"": {""start"": ""13:00"", ""end"": ""20:00""}, ""wednesday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""thursday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""friday"": {""start"": ""14:00"", ""end"": ""18:00""}, ""saturday"": {""start"": ""12:00"", ""end"": ""19:00""}}",4.3,40.75,+7(998)293-34-46,bela.ebded@mail.ru
aa23a735-94dc-462f-88ac-5a414b3d6173,Зайцев Кирилл Алексеевич,M,Pulmonologist,B,"Клиника «Медси», ул. Земляной Вал, д. 63",55.659406,37.484719,"{""monday"": {""start"": ""09:00"", ""end"": ""17:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",3.2,59.94,+7(992)364-49-69,zaytsev.kaa23@mail.ru
707a8429-38e4-4a17-9087-a5a48e6cda85,Алексеев Дмитрий Юрьевич,M,Neurologist,C,"Поликлиника при ГКБ №33, ул. Академика Янгеля, д. 47",55.682968,37.756496,"{""monday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""17:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""friday"": {""start"": ""08:00"", ""end"": ""17:00""}}",3.9,16.91,+7(947)832-38-25,alekseev.d707a@mail.ru
b262f030-148f-43c6-9747-7664765ee1ce,Комаров Егор Викторович,M,Therapist,A,"Клиника «Медси», ул. Бауманская, д. 49",55.696305,37.425248,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",5.7,92.3,+7(974)245-91-55,komarov.eb262@yandex.ru
ed602003-2b48-4b27-ae18-629fc94ac493,Петров Артём Иванович,M,Therapist,B,"Городская поликлиника №72, филиал 3, ул. Земляной Вал, д. 52",55.692637,37.826864,"{""monday"": {""start"": ""12:00"", ""end"": ""19:00""}, ""tuesday"": {""start"": ""13:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""13:00"", ""end"": ""19:00""}, ""thursday"": {""start"": ""13:00"", ""end"": ""19:00""}, ""friday"": {""start"": ""14:00"", ""end"": ""18:00""}}",6.3,48.03,+7(931)371-71-66,petrov.aed60@rambler.ru
908a5979-0e15-4a83-a5bc-242f98b93cea,Фёдоров Дмитрий Олегович,M,Cardiologist,A,"Городская поликлиника №138, филиал 2, Ленинский просп., д. 56",55.660308,37.6894,"{""monday"": {""start"": ""14:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""13:00"", ""end"": ""20:00""}, ""wednesday"": {""start"": ""13:00"", ""end"": ""19:00""}, ""thursday"": {""start"": ""13:00"", ""end"": ""20:00""}, ""friday"": {""start"": ""13:00"", ""end"": ""20:00""}, ""saturday"": {""start"": ""14:00"", ""end"": ""20:00""}}",5.5,70.04,+7(942)917-54-72,fyodorov.d908a@yandex.ru
1231d60a-c534-489a-a981-9d90e8a29693,Андреа Кристина Юрьевна,F,Cardiologist,C,"Поликлиника при ГКБ №202, ул. Покровка, д. 84",55.832874,37.617649,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",2.5,27.38,+7(981)504-76-34,andrea.k1231@yandex.ru
3c556ef5-bd0a-4fa2-9147-2dee76774892,Беляев Денис Евгеньевич,M,Therapist,C,"Городская поликлиника №61, филиал 3, Комсомольский просп., д. 104",55.699905,37.507528,"{""tuesday"": {""start"": ""08:00"", ""end"": ""17:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""17:00""}, ""friday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""saturday"": {""start"": ""08:00"", ""end"": ""16:00""}}",4.3,2.73,+7(974)375-82-62,belyaev.d3c55@rambler.ru
ae2cf395-0a67-4e41-9e48-08c000cf844b,Воробьёв Сергей Николаевич,M,Therapist,C,"МЦ «АльфаМед», Алтуфьевское ш., д. 97",55.821428,37.746836,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",3.1,14.71,+7(969)488-37-66,vorobyov.sae2c@gmail.com
520dcbfe-c0a9-4145-867b-c0b2de966723,Михайлов Денис Николаевич,M,Neurologist,B,"ГКБ №183, ул. Новослободская, д. 35",55.703072,37.521516,"{""monday"": {""start"": ""08:00"", ""end"": ""17:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",3.0,53.59,+7(980)137-26-54,mikhaylov.d520d@mail.ru
4cec2a8c-9b2c-4c52-aaec-51e25c2339d3,Кузьмина Анна Михайловна,F,Cardiologist,A,"Поликлиника при ГКБ №138, ул. Покровка, д. 115",55.728778,37.769595,"{""monday"": {""start"": ""08:00"", ""end"": ""13:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""15:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""13:00""}, ""thursday"": {""start"": ""07:00"", ""end"": ""14:00""}, ""friday"": {""start"": ""07:00"", ""end"": ""13:00""}, ""saturday"": {""start"": ""07:00"", ""end"": ""14:00""}}",9.7,67.17,+7(981)253-36-93,kuzmina.a4cec@yandex.ru
eeaf9e58-5da0-4193-b7c2-c2fa3fa0c080,Фёдоров Роман Михайлович,M,Neurologist,B,"Городская поликлиника №98, филиал 3, ул. Маросейка, д. 33",55.775426,37.759267,"{""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",6.3,45.56,+7(923)962-47-53,fyodorov.reeaf@mail.ru
cd282967-8fa0-44aa-90ef-1b29a6d10650,Воробьёв Артём Юрьевич,M,Gastroenterologist,A,"Медицинский центр «Здоровье», Ярославское ш., д. 28",55.81151,37.630047,"{""monday"": {""start"": ""12:00"", ""end"": ""20:00""}, ""tuesday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""wednesday"": {""start"": ""12:00"", ""end"": ""19:00""}, ""thursday"": {""start"": ""12:00"", ""end"": ""19:00""}, ""friday"": {""start"": ""13:00"", ""end"": ""19:00""}}",10.0,128.71,+7(949)944-24-61,vorobyov.acd28@yandex.ru
b2883c8b-3d46-4d71-a770-18bf93c25722,Воробьёв Сергей Олегович,M,Neurologist,B,"Многопрофильная клиника «Столица», Ярославское ш., д. 101",55.77448,37.383858,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""saturday"": {""start"": ""09:00"", ""end"": ""18:00""}}",3.4,41.69,+7(986)495-35-11,vorobyov.sb288@rambler.ru
4f26dd75-c3bf-4376-8d6f-685ebb256010,Тита Наталья Ивановна,F,Pulmonologist,C,"Клиника «Чайка», Севастопольский просп., д. 100",55.802323,37.782465,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",2.8,9.64,+7(938)197-69-70,tita.n4f26@gmail.com
619ba614-dbd4-4600-a48d-e45fed7b49a4,Воробьёва Дарья Петровна,F,Cardiologist,B,"Городская поликлиника №127, Рязанский просп., д. 63",55.687664,37.516705,"{""monday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""tuesday"": {""start"": ""14:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""12:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""13:00"", ""end"": ""19:00""}, ""friday"": {""start"": ""12:00"", ""end"": ""20:00""}, ""saturday"": {""start"": ""14:00"", ""end"": ""19:00""}}",8.5,52.61,+7(938)196-65-92,vorobyova.d619b@rambler.ru
0fbdb5d2-43ea-4ffd-a157-f9c4da2dd0f0,Морозов Михаил Андреевич,M,Therapist,A,"Клиника «Чайка», ул. Академика Королёва, д. 71",55.697248,37.688587,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",6.4,116.93,+7(937)846-51-82,morozov.m0fbd@yandex.ru
cdaf06ac-cc16-4f8c-a850-082f1f5a173d,Голубев Никита Дмитриевич,M,Cardiologist,C,"МЦ «СМ-Клиника», ул. Мясницкая, д. 95",55.749526,37.368202,"{""monday"": {""start"": ""12:00"", ""end"": ""19:00""}, ""tuesday"": {""start"": ""12:00"", ""end"": ""19:00""}, ""thursday"": {""start"": ""13:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""14:00"", ""end"": ""19:00""}}",3.6,18.43,+7(991)330-99-94,golubev.ncdaf@yandex.ru
a7b9b7ba-de85-4ea4-ba18-a337a55e7ba3,Волка Анна Петровна,F,Therapist,A,"МЦ «Он Клиник», Дмитровское ш., д. 111",55.734486,37.790119,"{""monday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""16:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""08:00"", ""end"": ""18:00""}}",5.7,65.83,+7(923)902-18-77,volka.aa7b9@rambler.ru
449a895d-235f-44dd-a43c-173ebbe15a95,Гуса Юлия Юрьевна,F,Pulmonologist,C,"Многопрофильная клиника «Столица», Хорошёвское ш., д. 95",55.675777,37.52889,"{""monday"": {""start"": ""08:00"", ""end"": ""15:00""}, ""tuesday"": {""start"": ""07:00"", ""end"": ""13:00""}, ""wednesday"": {""start"": ""07:00"", ""end"": ""13:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""14:00""}, ""saturday"": {""start"": ""08:00"", ""end"": ""15:00""}}",3.4,33.06,+7(911)794-40-69,gusa.yu449a@rambler.ru
251f45c6-cc53-4e2e-a92d-99eeb1b124df,Богданов Кирилл Викторович,M,Cardiologist,A,"Городская поликлиника №51, филиал 4, Варшавское ш., д. 70",55.78412,37.427481,"{""monday"": {""start"": ""07:00"", ""end"": ""13:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""14:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""15:00""}, ""friday"": {""start"": ""08:00"", ""end"": ""15:00""}, ""saturday"": {""start"": ""08:00"", ""end"": ""13:00""}}",9.8,87.75,+7(910)943-95-31,bogdanov.k251f@mail.ru
72c6f75a-0077-4c6b-86b5-7e64b3d158ee,Бела Полина Алексеевна,F,Therapist,C,"Клиника «Чайка», ул. 1905 года, д. 3",55.823739,37.637095,"{""monday"": {""start"": ""12:00"", ""end"": ""19:00""}, ""tuesday"": {""start"": ""13:00"", ""end"": ""19:00""}, ""wednesday"": {""start"": ""14:00"", ""end"": ""19:00""}, ""thursday"": {""start"": ""13:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""13:00"", ""end"": ""19:00""}}",2.7,16.17,+7(943)639-74-88,bela.p72c6@gmail.com
fadb7ebe-a416-4699-952e-bf037e8a9a9d,Павлов Никита Иванович,M,Therapist,B,"Поликлиника при ГКБ №209, Ленинградский просп., д. 59",55.729028,37.488529,"{""monday"": {""start"": ""13:00"", ""end"": ""20:00""}, ""tuesday"": {""start"": ""12:00"", ""end"": ""20:00""}, ""wednesday"": {""start"": ""13:00"", ""end"": ""19:00""}, ""friday"": {""start"": ""14:00"", ""end"": ""19:00""}, ""saturday"": {""start"": ""12:00"", ""end"": ""18:00""}}",6.3,42.11,+7(954)550-49-22,pavlov.nfadb@gmail.com
e7e3a9d9-8e75-4f9b-8645-f949df100d35,Беляев Арсений Борисович,M,Therapist,B,"Клиника «Чайка», ул. Марксистская, д. 40",55.739782,37.532865,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",5.2,62.88,+7(997)209-36-55,belyaev.ae7e3@yandex.ru
1ac7a5a4-dbd3-4eea-9256-fadc6adedbbb,Беляа Виктория Олеговна,F,Endocrinologist,B,"КДЦ №63, ул. Большая Полянка, д. 19",55.736521,37.848396,"{""monday"": {""start"": ""08:00"", ""end"": ""14:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""13:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""15:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""13:00""}, ""friday"": {""start"": ""08:00"", ""end"": ""14:00""}}",3.2,43.32,+7(912)743-17-76,belyaa.v1ac7@gmail.com
08418c63-39bd-4631-95db-d84d3e588397,Тита Марина Юрьевна,F,Therapist,A,"Многопрофильная клиника «Столица», ул. Маросейка, д. 6",55.800983,37.815187,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",8.2,77.74,+7(997)370-21-53,tita.m0841@yandex.ru
4b4c60c4-ee09-4d5e-899a-ef2ce8c0b207,Сидора Наталья Владимировна,F,Endocrinologist,C,"ГКБ №217, ул. Бауманская, д. 68",55.836752,37.585479,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""17:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""17:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",2.8,13.04,+7(954)122-63-59,sidora.n4b4c@rambler.ru
9b444486-4e88-43f5-996f-81fb013980cd,Кудрявца Кристина Александровна,F,Endocrinologist,A,"Клиника «Чайка», Каширское ш., д. 56",55.704221,37.533939,"{""monday"": {""start"": ""09:00"", ""end"": ""16:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""17:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""friday"": {""start"": ""08:00"", ""end"": ""16:00""}}",7.6,88.42,+7(910)969-24-63,kudryavtsa.k9b44@yandex.ru
cfb62862-26a4-4633-b811-cd7df975c6bc,Макаров Тимофей Евгеньевич,M,Rheumatologist,C,"Медицинский центр «Здоровье», Дмитровское ш., д. 59",55.763717,37.861202,"{""monday"": {""start"": ""09:00"", ""end"": ""17:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""16:00""}, ""saturday"": {""start"": ""09:00"", ""end"": ""16:00""}}",0.8,14.09,+7(986)116-69-19,makarov.tcfb6@yandex.ru
546ba986-df45-4351-b307-b092d6d49bd0,Орла Вероника Алексеевна,F,Pulmonologist,C,"Клиника «Чайка», ул. Тверская, д. 73",55.833901,37.610923,"{""monday"": {""start"": ""09:00"", ""end"": ""17:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""08:00"", ""end"": ""18:00""}}",0.0,18.37,+7(978)645-93-88,orla.v546b@mail.ru
fadc43be-d183-4611-99ae-1395a7fcad00,Тарасов Арсений Александрович,M,Endocrinologist,B,"ГКБ №76, ул. Маросейка, д. 23",55.647734,37.512392,"{""monday"": {""start"": ""13:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""13:00"", ""end"": ""19:00""}, ""wednesday"": {""start"": ""13:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""12:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""12:00"", ""end"": ""20:00""}, ""saturday"": {""start"": ""13:00"", ""end"": ""20:00""}}",3.2,48.11,+7(996)880-34-50,tarasov.afadc@gmail.com
7c8aaa80-053b-4c98-b023-323189133b07,Андреев Александр Алексеевич,M,Therapist,B,"Клиника «Чайка», ул. 1905 года, д. 49",55.661313,37.578022,"{""monday"": {""start"": ""12:00"", ""end"": ""19:00""}, ""wednesday"": {""start"": ""14:00"", ""end"": ""19:00""}, ""thursday"": {""start"": ""12:00"", ""end"": ""20:00""}}",2.8,86.74,+7(996)194-89-15,andreev.a7c8a@rambler.ru
555f8901-0716-4a5f-b090-c9e37131bdda,Ковалёва Ольга Сергеевна,F,Neurologist,A,"КДЦ №30, ул. Новослободская, д. 114",55.782438,37.631165,"{""monday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""tuesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""09:00"", ""end"": ""18:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""18:00""}}",10.0,70.2,+7(993)229-92-92,kovalyova.o555f@yandex.ru
d8e7452d-db38-4cbc-902c-18a5c13b0e19,Волка Алина Петровна,F,Therapist,B,"Городская поликлиника №177, ул. Мясницкая, д. 57",55.638188,37.753436,"{""monday"": {""start"": ""07:00"", ""end"": ""15:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""13:00""}, ""wednesday"": {""start"": ""07:00"", ""end"": ""13:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""13:00""}, ""friday"": {""start"": ""07:00"", ""end"": ""13:00""}}",4.7,22.5,+7(958)119-73-14,volka.ad8e7@gmail.com
bf28c77f-8ee1-461b-8ad6-6c6572a9d6f1,Васильев Даниил Андреевич,M,Therapist,A,"Клиника «Медси», Комсомольский просп., д. 43",55.870151,37.710765,"{""monday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""tuesday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""wednesday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""friday"": {""start"": ""08:00"", ""end"": ""18:00""}}",8.2,100.19,+7(982)454-84-38,vasilev.dbf28@gmail.com
aa89b5ef-6dee-4194-9376-a96eb543762f,Семёнов Кирилл Александрович,M,Neurologist,C,"ГКБ №191, ул. Академика Королёва, д. 58",55.821081,37.735902,"{""monday"": {""start"": ""08:00"", ""end"": ""18:00""}, ""wednesday"": {""start"": ""09:00"", ""end"": ""17:00""}, ""thursday"": {""start"": ""08:00"", ""end"": ""16:00""}, ""friday"": {""start"": ""09:00"", ""end"": ""17:00""}}",1.9,23.16,+7(954)263-90-31,semyonov.kaa89@mail.ru
552959ba-0a7b-41f5-a03a-53f6ad4ab037,Гуса Елена Борисовна,F,Therapist,B,"ГКБ №33, Хорошёвское ш., д. 82",55.853875,37.714245,"{""monday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""tuesday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""wednesday"": {""start"": ""14:00"", ""end"": ""18:00""}, ""thursday"": {""start"": ""14:00"", ""end"": ""20:00""}, ""friday"": {""start"": ""12:00"", ""end"": ""19:00""}}",5.8,34.74,+7(910)436-93-57,gusa.e5529@rambler.ru
